,Stasiun,Rata-rata-RMSE,Rata-rata-R
0,Aotizhongxin,0.02646333311344809,0.7715008268751643
1,Changping,0.025586504941605054,0.7221360921086719
2,Dingling,0.025943227153273664,0.7512675197673605
3,Dongsi,0.04355984374979584,0.74428273913308
4,Guanyuan,0.03833366545513154,0.7399301132505234
5,Gucheng,0.04050852152364187,0.58729929611209
6,Huairou,0.03447669530734119,0.7599544311027412
7,Nongzhanguan,0.029736410060225975,0.7377284159646508
8,Shunyi,0.02976771062770973,0.770878527448906
9,Tiantan,0.030135617171287616,0.7143852056885971
10,Wanliu,0.030937013756830268,0.7505758560824227
11,Wanshouxigong,0.027468930634030653,0.7059837989275407
